number,apps
1,is
2,bt
3,bt
4,sp
5,sp
6,sp
7,ft
8,intel
9,bt
10,is
11,bt
12,sp
13,ft
14,sp
15,sp
16,sp
17,ft
18,intel
19,intel
20,sp
21,ft
22,is
23,ft
24,bt
25,is
26,bt
27,is
28,is
29,sp
30,is
31,ft
32,ft
33,intel
34,intel
35,intel
36,bt
37,is
38,is
39,ft
40,intel
41,ft
42,is
43,is
44,intel
45,sp
46,ft
47,ft
48,intel
49,bt
50,bt
51,is
52,ft
53,sp
54,is
55,ft
56,sp
57,sp
58,sp
59,is
60,is
61,bt
62,sp
63,intel
64,bt
65,ft
66,is
67,sp
68,ft
69,intel
70,intel
71,bt
72,is
73,ft
74,sp
75,ft
76,intel
77,intel
78,intel
79,is
80,intel
81,ft
82,is
83,bt
84,bt
85,bt
86,sp
87,intel
88,intel
89,intel
90,intel
91,sp
92,ft
93,is
94,ft
95,bt
96,sp
97,sp
98,bt
99,sp
100,is
101,is
102,intel
103,sp
104,ft
105,is
106,sp
107,sp
108,ft
109,bt
110,sp
111,bt
112,ft
113,sp
114,bt
115,is
116,intel
117,ft
118,bt
119,intel
120,intel
121,sp
122,is
123,is
124,bt
125,bt
126,is
127,is
128,ft
129,bt
130,intel
131,is
132,intel
133,bt
134,intel
135,ft
136,intel
137,ft
138,intel
139,bt
140,sp
141,bt
142,bt
143,sp
144,bt
145,is
146,intel
147,ft
148,ft
149,bt
150,ft

