number,apps
1,ft
2,is
3,intel
4,is
5,bt
6,bt
7,bt
8,bt
9,ft
10,intel
11,sp
12,intel
13,bt
14,ft
15,intel
16,intel
17,is
18,sp
19,is
20,sp
21,sp
22,intel
23,sp
24,intel
25,sp
26,is
27,is
28,is
29,is
30,bt
31,sp
32,ft
33,is
34,intel
35,intel
36,bt
37,bt
38,ft
39,intel
40,ft
41,sp
42,bt
43,ft
44,ft
45,sp
46,is
47,intel
48,intel
49,bt
50,bt
51,sp
52,is
53,is
54,sp
55,ft
56,intel
57,ft
58,bt
59,intel
60,ft
61,intel
62,sp
63,bt
64,sp
65,sp
66,bt
67,sp
68,ft
69,sp
70,ft
71,intel
72,bt
73,bt
74,is
75,intel
76,ft
77,is
78,is
79,is
80,ft
81,ft
82,ft
83,sp
84,bt
85,bt
86,is
87,sp
88,is
89,bt
90,intel
91,is
92,bt
93,intel
94,bt
95,is
96,is
97,sp
98,sp
99,sp
100,sp
101,sp
102,ft
103,sp
104,ft
105,is
106,is
107,is
108,bt
109,intel
110,intel
111,bt
112,is
113,sp
114,bt
115,ft
116,ft
117,intel
118,bt
119,ft
120,is
121,intel
122,intel
123,ft
124,sp
125,bt
126,ft
127,ft
128,intel
129,is
130,ft
131,intel
132,sp
133,bt
134,ft
135,intel
136,is
137,sp
138,intel
139,intel
140,is
141,bt
142,ft
143,sp
144,sp
145,bt
146,bt
147,ft
148,intel
149,ft
150,is

