number,apps
1,sp
2,sp
3,sp
4,ft
5,is
6,ft
7,bt
8,bt
9,sp
10,intel
11,is
12,bt
13,intel
14,is
15,intel
16,is
17,intel
18,is
19,is
20,sp
21,ft
22,bt
23,ft
24,bt
25,is
26,ft
27,intel
28,bt
29,intel
30,is
31,sp
32,sp
33,bt
34,bt
35,bt
36,is
37,sp
38,sp
39,intel
40,intel
41,is
42,sp
43,ft
44,is
45,ft
46,is
47,bt
48,bt
49,is
50,intel
51,sp
52,is
53,ft
54,bt
55,bt
56,ft
57,sp
58,intel
59,bt
60,is
61,ft
62,intel
63,bt
64,sp
65,is
66,ft
67,ft
68,intel
69,sp
70,sp
71,sp
72,sp
73,intel
74,intel
75,ft
76,bt
77,bt
78,ft
79,sp
80,sp
81,is
82,ft
83,sp
84,ft
85,intel
86,intel
87,is
88,bt
89,intel
90,is
91,is
92,ft
93,intel
94,ft
95,intel
96,ft
97,intel
98,sp
99,is
100,intel
101,intel
102,is
103,bt
104,bt
105,ft
106,sp
107,intel
108,bt
109,is
110,is
111,bt
112,ft
113,ft
114,bt
115,ft
116,ft
117,intel
118,intel
119,is
120,sp
121,sp
122,ft
123,bt
124,is
125,bt
126,bt
127,bt
128,bt
129,intel
130,sp
131,sp
132,intel
133,intel
134,intel
135,is
136,is
137,sp
138,ft
139,ft
140,is
141,sp
142,sp
143,ft
144,sp
145,is
146,ft
147,bt
148,ft
149,bt
150,intel

