number,apps
1,ft
2,ft
3,is
4,sp
5,intel
6,is
7,sp
8,bt
9,ft
10,is
11,is
12,bt
13,sp
14,bt
15,intel
16,ft
17,bt
18,sp
19,ft
20,sp
21,ft
22,is
23,ft
24,sp
25,bt
26,ft
27,intel
28,intel
29,intel
30,bt
31,sp
32,intel
33,ft
34,is
35,is
36,intel
37,sp
38,is
39,intel
40,intel
41,sp
42,is
43,ft
44,ft
45,bt
46,ft
47,bt
48,ft
49,bt
50,ft
51,sp
52,sp
53,sp
54,ft
55,ft
56,intel
57,is
58,intel
59,sp
60,intel
61,is
62,ft
63,sp
64,ft
65,bt
66,intel
67,bt
68,sp
69,intel
70,intel
71,intel
72,is
73,sp
74,bt
75,bt
76,bt
77,intel
78,is
79,ft
80,intel
81,intel
82,intel
83,is
84,sp
85,sp
86,intel
87,is
88,ft
89,sp
90,ft
91,bt
92,ft
93,intel
94,bt
95,ft
96,intel
97,bt
98,intel
99,bt
100,bt
101,is
102,ft
103,ft
104,ft
105,intel
106,is
107,bt
108,sp
109,is
110,is
111,intel
112,ft
113,sp
114,bt
115,bt
116,intel
117,bt
118,sp
119,is
120,intel
121,is
122,is
123,ft
124,bt
125,ft
126,sp
127,is
128,is
129,sp
130,is
131,is
132,is
133,bt
134,sp
135,sp
136,bt
137,intel
138,intel
139,bt
140,sp
141,is
142,is
143,sp
144,is
145,bt
146,sp
147,bt
148,bt
149,sp
150,ft

